cod_cliente
2466477
698387
786353
1092196
1172440
1195198
1284896
1350569
1368316
2109929
2140003
2206663
2231076
2294754
2350495
2355464
2367329
2387274
2392963
2410153
2428092
2428662
2435160
2441292
2447424
2448862
2449690
2449864
2451797
2451798
2452746
2453756
2453763
2458076
2458078
2460673
2460674
2461049
2465716
2466195
2466238
2466376
2466509
2466525
1197717
2034118
2083089
2151512
2188451
2439760
2439989
2443054
2447318
2456029
930393
2076666
2243404
2289399
2289405
2415541
2436878
2453768
2454298
2455889
2455922
2459698
