orden,n_comp,fecha_emision,cod_cliente,figura,importe,bonif_sin_imp,imp_gravado,imp_exento,imp_iva,montib,gastadmi,boniflibro,bonifcosme,bonifpract,porclider,boniflider,bonifivadic,zona
1,"B0000303624904","2024-03-21",2959291,2,32720.61,8819.97,27041.83,0.00,5678.78,0.00000000000,"940.69",0.00,"6809.98","2009.99","","0.00","0.00",591
2,"B0000303624905","2024-03-21",3041484,2,28344.79,6269.98,23425.45,0.00,4919.34,0.00000000000,"814.89",0.00,"3749.99","2519.99","","0.00","0.00",591
3,"B0000303624906","2024-03-21",3329070,2,59037.03,16259.93,48790.93,0.00,10246.10,0.00000000000,"1697.26",0.00,"11789.95","4469.98","","0.00","0.00",591
4,"B0000303624907","2024-03-21",3394093,2,28313.91,5499.98,23399.92,0.00,4913.98,0.00000000000,"814.00",0.00,"5299.98","200.00","","0.00","0.00",591
5,"B0000303624908","2024-03-21",3804046,2,22012.79,4219.99,18192.39,0.00,3820.40,0.00000000000,"632.85",0.00,"4219.99","0.00","","0.00","0.00",591
6,"B0000303624909","2024-03-21",4072510,2,22424.61,3819.98,18532.74,0.00,3891.88,0.00000000000,"644.69",0.00,"3419.98","400.00","","0.00","0.00",591
7,"B0000303624910","2024-03-21",4378601,2,55845.34,15659.95,46153.17,0.00,9692.17,0.00000000000,"1605.50",0.00,"11249.97","4409.98","","0.00","0.00",591
8,"B0000303624911","2024-03-21",4540980,2,20056.54,2219.99,16575.65,0.00,3480.89,0.00000000000,"576.61",0.00,"1000.00","1219.99","","0.00","0.00",591
9,"B0000303624912","2024-03-21",5052130,2,22342.29,4099.99,18464.70,0.00,3877.59,0.00000000000,"642.32",0.00,"3939.99","160.00","","0.00","0.00",591
10,"B0000303624913","2024-03-21",5073413,2,22507.01,4339.99,18600.84,0.00,3906.18,0.00000000000,"647.05",0.00,"4339.99","0.00","","0.00","0.00",591
11,"B0000303624914","2024-03-21",5099110,2,41600.87,13394.96,34380.89,0.00,7219.99,0.00000000000,"1195.98",0.00,"11549.97","1844.99","","0.00","0.00",591
12,"B0000303624915","2024-03-21",5125740,2,34584.07,8309.95,28581.88,0.00,6002.19,0.00000000000,"994.26",0.00,"5399.96","2909.98","","0.00","0.00",591
13,"B0000303624916","2024-03-21",5125758,2,16803.02,2579.99,13886.80,0.00,2916.23,0.00000000000,"483.07",0.00,"2279.99","300.00","","0.00","0.00",591
