orden,n_comp,fecha_emision,cod_cliente,figura,importe,bonif_sin_imp,imp_gravado,imp_exento,imp_iva,montib,gastadmi,boniflibro,bonifcosme,bonifpract,porclider,boniflider,bonifivadic,zona
1,"B0000303625252","2024-03-21",5339596,10,346365.05,86789.45,259051.68,0.00,87313.37,0.00000000000,"9957.66",0.00,"49769.87","37019.57","","0.00","32912.52",678
2,"B0000303625253","2024-03-21",5339936,2,42228.95,12584.96,34899.96,0.00,7328.99,0.00000000000,"1214.04",0.00,"9989.97","2594.99","","0.00","0.00",678
3,"B0000303625254","2024-03-21",5725283,2,50753.12,15404.80,41944.73,0.00,8808.39,0.00000000000,"1459.10",0.00,"12299.96","3104.84","","0.00","0.00",678
4,"B0000303625255","2024-03-21",6142559,2,32875.04,5169.98,27169.46,0.00,5705.59,0.00000000000,"945.13",0.00,"3819.99","1350.00","","0.00","0.00",678
5,"B0000303625256","2024-03-21",6499244,2,16205.87,2359.99,13393.28,0.00,2812.59,0.00000000000,"465.90",0.00,"2000.00","360.00","","0.00","0.00",678
6,"B0000303625257","2024-03-21",6615759,2,22280.48,2059.99,18413.62,0.00,3866.86,0.00000000000,"640.54",0.00,"600.00","1459.99","","0.00","0.00",678
7,"B0000303625258","2024-03-21",6861512,2,49693.55,15134.97,41069.05,0.00,8624.50,0.00000000000,"1428.64",0.00,"12599.98","2534.99","","0.00","0.00",678
8,"B0000303625259","2024-03-21",6861563,2,34285.60,7499.98,28335.21,0.00,5950.39,0.00000000000,"985.68",0.00,"4139.99","3359.99","","0.00","0.00",678
9,"B0000303625260","2024-03-21",7264739,10,106738.48,25289.94,79831.33,0.00,26907.15,0.00000000000,"3068.63",0.00,"13379.96","11909.98","","0.00","10142.57",678
10,"B0000303625261","2024-03-21",7415087,10,136344.40,39374.89,101974.04,0.00,34370.35,0.00000000000,"3919.77",0.00,"28109.94","11264.95","","0.00","12955.80",678
11,"B0000303625262","2024-03-21",7495978,2,34048.79,4729.98,28139.49,0.00,5909.29,0.00000000000,"978.87",0.00,"2799.99","1929.99","","0.00","0.00",678
12,"B0000303625263","2024-03-21",7608926,2,47938.05,11039.97,39618.22,0.00,8319.83,0.00000000000,"1378.17",0.00,"6149.99","4889.98","","0.00","0.00",678
13,"B0000303625264","2024-03-21",7851146,2,48056.49,12224.97,39716.10,0.00,8340.38,0.00000000000,"1381.58",0.00,"7679.99","4544.98","","0.00","0.00",678
14,"B0000303625265","2024-03-21",7909470,2,24437.46,5864.97,20196.25,0.00,4241.21,0.00000000000,"702.55",0.00,"4199.98","1664.99","","0.00","0.00",678
