orden,n_comp,fecha_emision,cod_cliente,figura,importe,bonif_sin_imp,imp_gravado,imp_exento,imp_iva,montib,gastadmi,boniflibro,bonifcosme,bonifpract,porclider,boniflider,bonifivadic,zona
349,"B0000303625992","2024-03-21",24399272,2,23721.91,2859.99,19604.89,0.00,4117.03,980.24000000000,"681.98",0.00,"540.00","2319.99","","0.00","0.00",703
350,"B0000303625993","2024-03-21",24399302,2,32432.35,6899.98,26803.59,0.00,5628.75,1340.18000000000,"932.40",0.00,"6119.99","780.00","","0.00","0.00",703
351,"B0000303625994","2024-03-21",24399612,2,61719.31,16754.96,51007.69,0.00,10711.62,2550.38000000000,"1774.37",0.00,"10499.97","6254.99","","0.00","0.00",703
352,"B0000303625995","2024-03-21",24399647,2,70398.75,23324.93,58180.79,0.00,12217.97,2909.04000000000,"2023.90",0.00,"19139.95","4184.99","","0.00","0.00",703
353,"B0000303625996","2024-03-21",24399655,2,43252.53,9089.82,35745.89,0.00,7506.64,1787.29000000000,"1243.47",0.00,"2849.99","6239.83","","0.00","0.00",703
354,"B0000303625997","2024-03-21",24399671,2,38064.24,12329.96,31458.05,0.00,6606.19,1572.90000000000,"1094.31",0.00,"9869.98","2459.99","","0.00","0.00",703
355,"B0000303625998","2024-03-21",24403628,2,21276.63,6374.96,17583.99,0.00,3692.64,879.20000000000,"611.68",0.00,"5249.97","1124.99","","0.00","0.00",703
356,"B0000303625999","2024-03-21",24403679,2,42069.39,9839.97,34768.09,0.00,7301.30,1738.40000000000,"1209.45",0.00,"4469.98","5369.98","","0.00","0.00",703
357,"B0000303626000","2024-03-21",24404578,2,50414.28,10934.97,41664.70,0.00,8749.59,2083.23000000000,"1449.36",0.00,"3899.99","7034.98","","0.00","0.00",703
358,"B0000303626001","2024-03-21",24404861,2,61755.33,9719.98,51037.47,0.00,10717.87,0.00000000000,"1775.41",0.00,"5499.99","4219.99","","0.00","0.00",703
359,"B0000303626002","2024-03-21",24407550,2,56375.63,16244.95,46591.43,0.00,9784.20,2329.57000000000,"1620.74",0.00,"11189.97","5054.98","","0.00","0.00",703
360,"B0000303626003","2024-03-21",24409189,2,23021.80,3539.98,19026.28,0.00,3995.52,951.31000000000,"661.85",0.00,"1899.99","1640.00","","0.00","0.00",703
361,"B0000303626004","2024-03-21",24410691,2,32499.27,9134.97,26858.90,0.00,5640.37,1342.95000000000,"934.32",0.00,"6059.98","3074.99","","0.00","0.00",703
362,"B0000303626005","2024-03-21",24410748,2,30172.37,10394.96,24935.84,0.00,5236.53,1246.79000000000,"867.43",0.00,"8879.97","1514.99","","0.00","0.00",703
363,"B0000303626006","2024-03-21",24410764,10,104143.84,43349.89,77890.76,0.00,26253.08,3894.54000000000,"2994.03",0.00,"43349.89","0.00","","0.00","9896.02",703
364,"B0000303626007","2024-03-21",24410837,2,19006.38,4239.99,15707.75,0.00,3298.63,785.39000000000,"546.41",0.00,"3939.99","300.00","","0.00","0.00",703
365,"B0000303626008","2024-03-21",24410845,2,23021.80,3539.99,19026.28,0.00,3995.52,951.31000000000,"661.85",0.00,"1900.00","1639.99","","0.00","0.00",703
366,"B0000303626009","2024-03-21",24416720,2,49652.37,10274.97,41035.02,0.00,8617.35,2051.75000000000,"1427.46",0.00,"3000.00","7274.98","","0.00","0.00",703
