orden,n_comp,fecha_emision,cod_cliente,figura,importe,bonif_sin_imp,imp_gravado,imp_exento,imp_iva,montib,gastadmi,boniflibro,bonifcosme,bonifpract,porclider,boniflider,bonifivadic,zona
1,"B0000303622090","2024-03-21",4823702,2,23680.72,2799.99,19570.84,0.00,4109.88,880.69000000000,"680.80",0.00,"1340.00","1459.99","","0.00","0.00",224
2,"B0000303622091","2024-03-21",4954858,2,73250.68,26354.92,60537.75,0.00,12712.93,2724.20000000000,"2105.89",0.00,"24359.93","1994.99","","0.00","0.00",224
3,"B0000303622092","2024-03-21",4954963,2,49739.87,15389.97,41107.33,0.00,8632.54,1849.83000000000,"1429.97",0.00,"13019.98","2369.99","","0.00","0.00",224
4,"B0000303622093","2024-03-21",5293480,2,28746.32,8279.96,23757.29,0.00,4989.03,1069.08000000000,"826.43",0.00,"7049.96","1230.00","","0.00","0.00",224
5,"B0000303622094","2024-03-21",5377820,2,43737.31,15419.96,36146.54,0.00,7590.77,1626.59000000000,"1257.41",0.00,"14819.96","600.00","","0.00","0.00",224
6,"B0000303622095","2024-03-21",5728789,2,16288.21,1979.99,13461.33,0.00,2826.88,605.76000000000,"468.27",0.00,"1299.99","680.00","","0.00","0.00",224
7,"B0000303622096","2024-03-21",6568289,2,22404.05,3939.99,18515.74,0.00,3888.31,833.21000000000,"644.09",0.00,"3639.99","300.00","","0.00","0.00",224
8,"B0000303622097","2024-03-21",6655173,2,18985.73,2059.99,15690.69,0.00,3295.04,706.08000000000,"545.82",0.00,"920.00","1139.99","","0.00","0.00",224
9,"B0000303622098","2024-03-21",6977090,2,39479.89,10154.97,32628.01,0.00,6851.88,1468.26000000000,"1135.01",0.00,"7109.98","3044.99","","0.00","0.00",224
10,"B0000303622099","2024-03-21",7186967,2,75790.35,25484.35,62636.65,0.00,13153.70,2818.65000000000,"2178.90",0.00,"22139.96","3344.39","","0.00","0.00",224
11,"B0000303622100","2024-03-21",7187009,2,55606.76,16889.64,45956.00,0.00,9650.76,2068.02000000000,"1598.64",0.00,"13409.96","3479.68","","0.00","0.00",224
12,"B0000303622101","2024-03-21",7654561,2,73441.14,19469.94,60695.15,0.00,12745.98,2731.28000000000,"2111.36",0.00,"12599.96","6869.98","","0.00","0.00",224
13,"B0000303622102","2024-03-21",8017425,2,13940.76,1560.00,11521.29,0.00,2419.47,518.46000000000,"400.78",0.00,"1000.00","560.00","","0.00","0.00",224
14,"B0000303622103","2024-03-21",8080801,2,24813.26,8399.96,20506.83,0.00,4306.43,922.81000000000,"713.36",0.00,"8399.96","0.00","","0.00","0.00",224
15,"B0000303622104","2024-03-21",8652783,2,41533.93,12359.96,34325.56,0.00,7208.37,1544.65000000000,"1194.06",0.00,"9809.98","2549.98","","0.00","0.00",224
16,"B0000303622105","2024-03-21",8727716,2,61714.11,6659.98,51003.39,0.00,10710.71,2295.15000000000,"1774.22",0.00,"899.99","5759.99","","0.00","0.00",224
