orden,n_comp,fecha_emision,cod_cliente,figura,importe,bonif_sin_imp,imp_gravado,imp_exento,imp_iva,montib,gastadmi,boniflibro,bonifcosme,bonifpract,porclider,boniflider,bonifivadic,zona
1,"B0000303621524","2024-03-21",3487105,2,52597.01,10514.97,43468.60,0.00,9128.41,0.00000000000,"1512.11",0.00,"3899.99","6614.98","","0.00","0.00",215
2,"B0000303621525","2024-03-21",3499855,2,35881.47,11249.97,29654.11,0.00,6227.36,0.00000000000,"1031.56",0.00,"10019.97","1229.99","","0.00","0.00",215
3,"B0000303621526","2024-03-21",3744159,2,23958.69,8429.96,19800.57,0.00,4158.12,0.00000000000,"688.79",0.00,"8249.96","180.00","","0.00","0.00",215
4,"B0000303621527","2024-03-21",4079906,2,54347.30,20414.94,44915.12,0.00,9432.18,0.00000000000,"1562.43",0.00,"19769.94","645.00","","0.00","0.00",215
5,"B0000303621528","2024-03-21",4098927,2,44246.94,14024.96,36567.72,0.00,7679.22,0.00000000000,"1272.06",0.00,"12299.96","1724.99","","0.00","0.00",215
6,"B0000303621529","2024-03-21",4237153,2,27546.79,7139.08,22765.94,0.00,4780.85,0.00000000000,"791.94",0.00,"5459.98","1679.10","","0.00","0.00",215
7,"B0000303621530","2024-03-21",4899296,2,63762.92,18869.93,52696.63,0.00,11066.29,0.00000000000,"1833.12",0.00,"14399.95","4469.98","","0.00","0.00",215
8,"B0000303621531","2024-03-21",5519691,2,20674.30,2619.99,17086.20,0.00,3588.10,0.00000000000,"594.37",0.00,"1599.99","1020.00","","0.00","0.00",215
9,"B0000303621532","2024-03-21",5567114,2,51258.50,15614.96,42362.39,0.00,8896.10,0.00000000000,"1473.63",0.00,"12959.97","2654.99","","0.00","0.00",215
10,"B0000303621533","2024-03-21",5591970,2,18295.91,2029.99,15120.59,0.00,3175.32,0.00000000000,"525.99",0.00,"1000.00","1029.99","","0.00","0.00",215
11,"B0000303621534","2024-03-21",5822521,2,54424.50,18539.95,44978.93,0.00,9445.58,0.00000000000,"1564.65",0.00,"16559.96","1979.99","","0.00","0.00",215
12,"B0000303621535","2024-03-21",5948916,2,40559.26,8804.67,33520.05,0.00,7039.21,0.00000000000,"1166.04",0.00,"4499.98","4304.69","","0.00","0.00",215
13,"B0000303621536","2024-03-21",6041108,2,33513.41,5249.99,27697.03,0.00,5816.38,0.00000000000,"963.48",0.00,"3839.99","1410.00","","0.00","0.00",215
14,"B0000303621537","2024-03-21",6089348,2,59078.33,19019.96,48825.07,0.00,10253.26,0.00000000000,"1698.44",0.00,"16469.97","2549.99","","0.00","0.00",215
15,"B0000303621538","2024-03-21",6134220,2,58213.46,21359.95,48110.30,0.00,10103.16,0.00000000000,"1673.58",0.00,"20249.95","1110.00","","0.00","0.00",215
16,"B0000303621539","2024-03-21",6235123,2,59248.19,20354.95,48965.45,0.00,10282.74,0.00000000000,"1703.33",0.00,"18239.96","2114.99","","0.00","0.00",215
17,"B0000303621540","2024-03-21",6235131,2,33394.98,10664.97,27599.16,0.00,5795.82,0.00000000000,"960.07",0.00,"9749.97","915.00","","0.00","0.00",215
18,"B0000303621541","2024-03-21",6270298,2,41302.30,12884.96,34134.13,0.00,7168.17,0.00000000000,"1187.40",0.00,"10769.97","2114.99","","0.00","0.00",215
