orden,n_comp,fecha_emision,cod_cliente,figura,importe,bonif_sin_imp,imp_gravado,imp_exento,imp_iva,montib,gastadmi,boniflibro,bonifcosme,bonifpract,porclider,boniflider,bonifivadic,zona
1,"B0000303622578","2024-03-21",3586685,2,60962.46,19889.94,50382.20,0.00,10580.26,1763.38000000000,"1752.61",0.00,"16949.95","2939.99","","0.00","0.00",388
2,"B0000303622579","2024-03-21",3627977,2,74687.02,27659.93,61724.81,0.00,12962.21,2160.37000000000,"2147.18",0.00,"26609.94","1049.99","","0.00","0.00",388
3,"B0000303622580","2024-03-21",4659732,2,24895.66,4519.98,20574.93,0.00,4320.74,720.12000000000,"715.73",0.00,"4199.98","320.00","","0.00","0.00",388
4,"B0000303622581","2024-03-21",4826493,2,22754.13,3399.99,18805.06,0.00,3949.06,658.18000000000,"654.16",0.00,"2599.99","800.00","","0.00","0.00",388
5,"B0000303622582","2024-03-21",4870905,2,48416.82,15074.96,40013.90,0.00,8402.92,1400.49000000000,"1391.94",0.00,"12419.97","2654.99","","0.00","0.00",388
6,"B0000303622583","2024-03-21",4914830,2,39340.93,5889.98,32513.16,0.00,6827.76,1137.96000000000,"1131.01",0.00,"4419.99","1469.99","","0.00","0.00",388
7,"B0000303622584","2024-03-21",5501466,2,96976.97,27509.79,80146.26,0.00,16830.71,2805.12000000000,"2787.99",0.00,"19859.96","7649.84","","0.00","0.00",388
8,"B0000303622585","2024-03-21",6254365,2,89044.74,19814.95,73590.70,0.00,15454.05,2575.67000000000,"2559.95",0.00,"10439.98","9374.97","","0.00","0.00",388
9,"B0000303622586","2024-03-21",6261434,2,27747.61,5849.97,22931.91,0.00,4815.70,802.62000000000,"797.72",0.00,"3209.98","2639.98","","0.00","0.00",388
10,"B0000303622587","2024-03-21",6540759,10,165363.71,47189.88,123678.03,0.00,41685.68,4328.73000000000,"4754.05",0.00,"32939.91","14249.97","","0.00","15713.29",388
11,"B0000303622588","2024-03-21",6820212,2,38336.19,9464.81,31682.80,0.00,6653.39,1108.90000000000,"1102.13",0.00,"7499.97","1964.84","","0.00","0.00",388
12,"B0000303622589","2024-03-21",6971350,2,52411.67,17294.95,43315.43,0.00,9096.24,1516.04000000000,"1506.78",0.00,"15029.96","2264.99","","0.00","0.00",388
13,"B0000303622590","2024-03-21",7164025,10,101099.58,31604.61,75613.91,0.00,25485.67,2646.49000000000,"2906.51",0.00,"26009.93","5594.68","","0.00","9606.75",388
14,"B0000303622591","2024-03-21",7201230,2,67124.60,17204.95,55474.88,0.00,11649.72,1941.62000000000,"1929.77",0.00,"12419.97","4784.98","","0.00","0.00",388
15,"B0000303622592","2024-03-21",7234627,2,35261.12,8549.53,29141.42,0.00,6119.70,1019.95000000000,"1013.72",0.00,"5609.99","2939.54","","0.00","0.00",388
16,"B0000303622593","2024-03-21",7292333,2,32998.60,7949.96,27271.57,0.00,5727.03,954.50000000000,"948.68",0.00,"7949.96","0.00","","0.00","0.00",388
17,"B0000303622594","2024-03-21",7451989,2,24730.91,3779.98,20438.77,0.00,4292.14,715.36000000000,"710.99",0.00,"2899.99","880.00","","0.00","0.00",388
18,"B0000303622595","2024-03-21",7491387,2,19150.50,2399.99,15826.86,0.00,3323.64,553.94000000000,"550.56",0.00,"1499.99","900.00","","0.00","0.00",388
19,"B0000303622596","2024-03-21",7492065,2,79088.53,26684.93,65362.42,0.00,13726.11,2287.68000000000,"2273.72",0.00,"23219.94","3464.99","","0.00","0.00",388
20,"B0000303622597","2024-03-21",7530064,2,70360.05,14609.50,58148.80,0.00,12211.25,2035.21000000000,"2022.78",0.00,"6959.98","7649.52","","0.00","0.00",388
21,"B0000303622598","2024-03-21",7641613,2,89703.72,26174.94,74135.30,0.00,15568.41,2594.74000000000,"2578.89",0.00,"20939.96","5234.98","","0.00","0.00",388
22,"B0000303622599","2024-03-21",7739699,2,48277.87,6109.99,39899.06,0.00,8378.80,1396.47000000000,"1387.94",0.00,"2519.99","3589.99","","0.00","0.00",388
