orden,n_comp,fecha_emision,cod_cliente,figura,importe,bonif_sin_imp,imp_gravado,imp_exento,imp_iva,montib,gastadmi,boniflibro,bonifcosme,bonifpract,porclider,boniflider,bonifivadic,zona
1,"B0000303622885","2024-03-21",3067858,2,37328.07,9044.97,30849.64,0.00,6478.42,0.00000000000,"1073.15",0.00,"8549.97","495.00","","0.00","0.00",401
2,"B0000303622886","2024-03-21",3271358,2,35284.30,5529.99,29160.58,0.00,6123.72,0.00000000000,"1014.39",0.00,"3999.99","1529.99","","0.00","0.00",401
3,"B0000303622887","2024-03-21",3928233,2,29672.97,5879.97,24523.11,0.00,5149.85,0.00000000000,"853.07",0.00,"2699.98","3179.99","","0.00","0.00",401
4,"B0000303622888","2024-03-21",4056418,2,47829.95,12644.97,39528.88,0.00,8301.07,0.00000000000,"1375.06",0.00,"8909.98","3734.99","","0.00","0.00",401
5,"B0000303622889","2024-03-21",4072006,2,47387.15,14174.94,39162.94,0.00,8224.22,0.00000000000,"1362.33",0.00,"11639.96","2534.98","","0.00","0.00",401
6,"B0000303622890","2024-03-21",4087666,2,51088.63,14579.96,42222.01,0.00,8866.62,0.00000000000,"1468.75",0.00,"11249.97","3329.99","","0.00","0.00",401
7,"B0000303622891","2024-03-21",4511913,2,62087.23,17144.50,51311.76,0.00,10775.47,0.00000000000,"1784.95",0.00,"11999.97","5144.53","","0.00","0.00",401
8,"B0000303622892","2024-03-21",4595297,2,30043.68,5919.99,24829.49,0.00,5214.19,0.00000000000,"863.73",0.00,"5719.99","200.00","","0.00","0.00",401
9,"B0000303622893","2024-03-21",4684486,2,28077.10,3129.99,23204.22,0.00,4872.89,0.00000000000,"807.19",0.00,"1080.00","2049.99","","0.00","0.00",401
10,"B0000303622894","2024-03-21",4781708,2,28859.62,5369.98,23850.93,0.00,5008.69,0.00000000000,"829.69",0.00,"4959.99","410.00","","0.00","0.00",401
11,"B0000303622895","2024-03-21",5226759,2,17935.58,2179.99,14822.79,0.00,3112.79,0.00000000000,"515.63",0.00,"1340.00","840.00","","0.00","0.00",401
12,"B0000303622896","2024-03-21",5226805,2,33286.85,7769.97,27509.79,0.00,5777.06,0.00000000000,"956.96",0.00,"4859.98","2909.99","","0.00","0.00",401
13,"B0000303622897","2024-03-21",6007813,2,33194.23,4659.98,27433.25,0.00,5760.98,0.00000000000,"954.30",0.00,"2839.99","1820.00","","0.00","0.00",401
14,"B0000303622898","2024-03-21",6121411,2,26131.19,4719.99,21596.02,0.00,4535.16,0.00000000000,"751.25",0.00,"4319.99","400.00","","0.00","0.00",401
15,"B0000303622899","2024-03-21",6161979,2,59778.47,11939.97,49403.69,0.00,10374.78,0.00000000000,"1718.57",0.00,"4229.99","7709.98","","0.00","0.00",401
16,"B0000303622900","2024-03-21",6224270,2,45683.25,7029.98,37754.75,0.00,7928.50,0.00000000000,"1313.35",0.00,"4229.99","2799.99","","0.00","0.00",401
17,"B0000303622901","2024-03-21",6321658,2,36303.63,7139.98,30003.00,0.00,6300.63,0.00000000000,"1043.69",0.00,"6699.99","440.00","","0.00","0.00",401
18,"B0000303622902","2024-03-21",6354092,2,34522.41,9869.98,28530.92,0.00,5991.49,0.00000000000,"992.49",0.00,"8069.98","1799.99","","0.00","0.00",401
19,"B0000303622903","2024-03-21",6448437,2,32617.60,9119.96,26956.70,0.00,5660.91,0.00000000000,"937.72",0.00,"7349.97","1769.99","","0.00","0.00",401
20,"B0000303622904","2024-03-21",6627765,2,34419.46,4269.99,28445.83,0.00,5973.62,0.00000000000,"989.53",0.00,"1899.99","2370.00","","0.00","0.00",401
21,"B0000303622905","2024-03-21",6944140,2,43696.15,5659.99,36112.52,0.00,7583.63,0.00000000000,"1256.22",0.00,"3499.99","2160.00","","0.00","0.00",401
22,"B0000303622906","2024-03-21",7122764,2,54748.83,15824.95,45246.97,0.00,9501.86,0.00000000000,"1573.98",0.00,"11849.96","3974.99","","0.00","0.00",401
23,"B0000303622907","2024-03-21",7233760,2,75245.44,24014.47,62186.32,0.00,13059.13,0.00000000000,"2163.23",0.00,"19799.94","4214.53","","0.00","0.00",401
24,"B0000303622908","2024-03-21",7233914,2,41801.66,7399.98,34546.82,0.00,7254.83,0.00000000000,"1201.76",0.00,"6099.99","1299.99","","0.00","0.00",401
25,"B0000303622909","2024-03-21",7377525,2,32118.25,8804.96,26544.01,0.00,5574.24,0.00000000000,"923.37",0.00,"6509.98","2294.99","","0.00","0.00",401
26,"B0000303622910","2024-03-21",7453485,2,24813.29,4899.98,20506.85,0.00,4306.44,0.00000000000,"713.36",0.00,"4899.98","0.00","","0.00","0.00",401
27,"B0000303622911","2024-03-21",7673124,2,75937.98,28844.93,62758.66,0.00,13179.32,0.00000000000,"2183.14",0.00,"27809.93","1035.00","","0.00","0.00",401
28,"B0000303622912","2024-03-21",7740867,2,37657.47,9224.96,31121.88,0.00,6535.59,0.00000000000,"1082.62",0.00,"6059.97","3164.98","","0.00","0.00",401
29,"B0000303622913","2024-03-21",7781008,2,40699.97,10769.96,33636.34,0.00,7063.63,0.00000000000,"1170.08",0.00,"7349.97","3419.99","","0.00","0.00",401
30,"B0000303622914","2024-03-21",7956819,2,25255.10,3969.89,20871.99,0.00,4383.12,0.00000000000,"726.06",0.00,"3139.99","829.90","","0.00","0.00",401
31,"B0000303622915","2024-03-21",8179468,2,43243.07,12299.96,35738.07,0.00,7505.00,0.00000000000,"1243.20",0.00,"9659.97","2639.99","","0.00","0.00",401
32,"B0000303622916","2024-03-21",8205299,2,16483.85,2389.99,13623.02,0.00,2860.83,0.00000000000,"473.89",0.00,"2000.00","390.00","","0.00","0.00",401
33,"B0000303622917","2024-03-21",8271810,2,48710.24,13289.95,40256.40,0.00,8453.84,0.00000000000,"1400.37",0.00,"11099.96","2189.99","","0.00","0.00",401
34,"B0000303622918","2024-03-21",8300151,2,30553.30,9824.97,25250.66,0.00,5302.64,0.00000000000,"878.38",0.00,"9149.98","675.00","","0.00","0.00",401
35,"B0000303622919","2024-03-21",8300186,2,49822.25,16409.97,41175.41,0.00,8646.84,0.00000000000,"1432.34",0.00,"14729.97","1679.99","","0.00","0.00",401
36,"B0000303622920","2024-03-21",8341435,2,33688.42,5479.98,27841.67,0.00,5846.75,0.00000000000,"968.51",0.00,"4219.99","1260.00","","0.00","0.00",401
37,"B0000303622921","2024-03-21",8438900,2,17564.93,3139.99,14516.48,0.00,3048.46,0.00000000000,"504.97",0.00,"3139.99","0.00","","0.00","0.00",401
38,"B0000303622922","2024-03-21",8494533,2,35207.07,10004.97,29096.75,0.00,6110.32,0.00000000000,"1012.17",0.00,"8099.98","1904.99","","0.00","0.00",401
39,"B0000303622923","2024-03-21",8597618,2,42156.84,12254.96,34840.36,0.00,7316.48,0.00000000000,"1211.97",0.00,"9449.98","2804.98","","0.00","0.00",401
40,"B0000303622924","2024-03-21",8743495,2,18666.62,3070.00,15426.96,0.00,3239.66,0.00000000000,"536.65",0.00,"2800.00","270.00","","0.00","0.00",401
41,"B0000303622925","2024-03-21",8830258,2,40216.09,8039.98,33236.43,0.00,6979.65,0.00000000000,"1156.17",0.00,"7559.98","480.00","","0.00","0.00",401
42,"B0000303622926","2024-03-21",9043438,2,21425.93,3889.99,17707.38,0.00,3718.55,0.00000000000,"615.97",0.00,"3739.99","150.00","","0.00","0.00",401
43,"B0000303622927","2024-03-21",9043586,2,13343.59,940.00,11027.76,0.00,2315.83,0.00000000000,"383.62",0.00,"0.00","940.00","","0.00","0.00",401
44,"B0000303622928","2024-03-21",9108238,2,28530.10,6689.97,23578.60,0.00,4951.51,0.00000000000,"820.21",0.00,"4409.98","2279.99","","0.00","0.00",401
45,"B0000303622929","2024-03-21",9148590,2,29024.36,5409.99,23987.08,0.00,5037.29,0.00000000000,"834.42",0.00,"4999.99","410.00","","0.00","0.00",401
46,"B0000303622930","2024-03-21",9187685,2,50846.68,13514.96,42022.05,0.00,8824.63,0.00000000000,"1461.79",0.00,"12209.97","1304.99","","0.00","0.00",401
47,"B0000303622931","2024-03-21",9264175,2,30640.82,4739.99,25322.99,0.00,5317.83,0.00000000000,"880.89",0.00,"3479.99","1259.99","","0.00","0.00",401
48,"B0000303622932","2024-03-21",9315128,2,42073.57,10334.81,34771.54,0.00,7302.02,0.00000000000,"1209.57",0.00,"6659.98","3674.83","","0.00","0.00",401
49,"B0000303622933","2024-03-21",9386467,2,27974.17,5129.99,23119.15,0.00,4855.02,0.00000000000,"804.23",0.00,"4699.99","430.00","","0.00","0.00",401
50,"B0000303622934","2024-03-21",9417273,2,14980.63,1449.99,12380.68,0.00,2599.94,0.00000000000,"430.68",0.00,"600.00","850.00","","0.00","0.00",401
51,"B0000303622935","2024-03-21",9578625,2,32473.48,9959.97,26837.59,0.00,5635.89,0.00000000000,"933.58",0.00,"8819.97","1139.99","","0.00","0.00",401
52,"B0000303622936","2024-03-21",9721797,2,47026.89,17324.96,38865.20,0.00,8161.69,0.00000000000,"1351.98",0.00,"17099.96","225.00","","0.00","0.00",401
53,"B0000303622937","2024-03-21",9820795,2,29909.79,5449.98,24718.84,0.00,5190.96,0.00000000000,"859.88",0.00,"4899.99","550.00","","0.00","0.00",401
54,"B0000303622938","2024-03-21",9897682,2,28581.60,8339.96,23621.16,0.00,4960.44,0.00000000000,"821.69",0.00,"7199.97","1140.00","","0.00","0.00",401
55,"B0000303622939","2024-03-21",10116230,2,34110.56,6469.98,28190.54,0.00,5920.01,0.00000000000,"980.65",0.00,"5919.98","550.00","","0.00","0.00",401
56,"B0000303622940","2024-03-21",10165053,2,23721.91,4159.98,19604.88,0.00,4117.03,0.00000000000,"681.98",0.00,"3779.99","380.00","","0.00","0.00",401
57,"B0000303622941","2024-03-21",10190317,2,33377.79,9779.67,27584.95,0.00,5792.84,0.00000000000,"959.58",0.00,"8249.98","1529.69","","0.00","0.00",401
58,"B0000303622942","2024-03-21",10209247,2,17297.24,2699.99,14295.24,0.00,3002.00,0.00000000000,"497.28",0.00,"2399.99","300.00","","0.00","0.00",401
59,"B0000303622943","2024-03-21",10288414,2,54568.68,18599.96,45098.08,0.00,9470.60,0.00000000000,"1568.80",0.00,"17069.96","1529.99","","0.00","0.00",401
60,"B0000303622944","2024-03-21",10426990,2,32638.24,5949.98,26973.76,0.00,5664.49,0.00000000000,"938.32",0.00,"5299.99","650.00","","0.00","0.00",401
