orden,n_comp,fecha_emision,cod_cliente,figura,importe,bonif_sin_imp,imp_gravado,imp_exento,imp_iva,montib,gastadmi,boniflibro,bonifcosme,bonifpract,porclider,boniflider,bonifivadic,zona
1,"B0000303623754","2024-03-21",3015408,2,27479.97,5209.99,22710.72,0.00,4769.25,0.00000000000,"790.02",0.00,"4939.99","270.00","","0.00","0.00",509
2,"B0000303623755","2024-03-21",3015432,2,74527.38,21314.93,61592.87,0.00,12934.50,0.00000000000,"2142.59",0.00,"15419.95","5894.98","","0.00","0.00",509
3,"B0000303623756","2024-03-21",5368430,2,28509.54,3609.98,23561.60,0.00,4947.94,0.00000000000,"819.62",0.00,"1859.99","1749.99","","0.00","0.00",509
4,"B0000303623757","2024-03-21",5947740,2,43037.14,14999.95,35567.88,0.00,7469.26,0.00000000000,"1237.28",0.00,"13859.96","1139.99","","0.00","0.00",509
5,"B0000303623758","2024-03-21",6707076,2,48149.12,9134.97,39792.66,0.00,8356.46,0.00000000000,"1384.24",0.00,"2399.99","6734.98","","0.00","0.00",509
6,"B0000303623759","2024-03-21",6774199,2,43744.99,12509.52,36152.88,0.00,7592.11,0.00000000000,"1257.63",0.00,"9869.97","2639.54","","0.00","0.00",509
7,"B0000303623760","2024-03-21",6814638,2,29611.22,5339.98,24472.08,0.00,5139.14,0.00000000000,"851.29",0.00,"4759.99","580.00","","0.00","0.00",509
8,"B0000303623761","2024-03-21",6814654,2,26625.40,5339.98,22004.46,0.00,4620.94,0.00000000000,"765.45",0.00,"5339.98","0.00","","0.00","0.00",509
9,"B0000303623762","2024-03-21",7360576,2,25234.54,4589.83,20854.99,0.00,4379.55,0.00000000000,"725.47",0.00,"1799.99","2789.84","","0.00","0.00",509
10,"B0000303623763","2024-03-21",7773749,2,75186.32,21074.94,62137.45,0.00,13048.86,0.00000000000,"2161.53",0.00,"14819.96","6254.97","","0.00","0.00",509
11,"B0000303623764","2024-03-21",7812035,2,69640.19,21359.64,57553.88,0.00,12086.31,0.00000000000,"2002.09",0.00,"16919.96","4439.68","","0.00","0.00",509
12,"B0000303623765","2024-03-21",8062889,2,16370.59,1599.99,13529.41,0.00,2841.18,0.00000000000,"470.64",0.00,"600.00","1000.00","","0.00","0.00",509
13,"B0000303623766","2024-03-21",8522146,2,17779.29,2529.79,14693.63,0.00,3085.66,0.00000000000,"511.14",0.00,"1999.99","529.80","","0.00","0.00",509
