orden,n_comp,fecha_emision,cod_cliente,figura,importe,bonif_sin_imp,imp_gravado,imp_exento,imp_iva,montib,gastadmi,boniflibro,bonifcosme,bonifpract,porclider,boniflider,bonifivadic,zona
1,"B0000303623417","2024-03-21",3726673,2,18675.05,2459.79,15433.93,0.00,3241.12,0.00000000000,"536.89",0.00,"1699.99","759.80","","0.00","0.00",403
2,"B0000303623418","2024-03-21",4449274,2,47505.60,12809.96,39260.83,0.00,8244.77,0.00000000000,"1365.74",0.00,"8879.97","3929.99","","0.00","0.00",403
3,"B0000303623419","2024-03-21",4709390,2,23989.64,4699.99,19826.15,0.00,4163.49,0.00000000000,"689.68",0.00,"4699.99","0.00","","0.00","0.00",403
4,"B0000303623420","2024-03-21",4735498,2,39047.47,12074.96,32270.63,0.00,6776.83,0.00000000000,"1122.58",0.00,"10049.97","2024.99","","0.00","0.00",403
5,"B0000303623421","2024-03-21",5070074,2,40875.08,8799.99,33781.06,0.00,7094.02,0.00000000000,"1175.12",0.00,"8799.99","0.00","","0.00","0.00",403
6,"B0000303623422","2024-03-21",5522358,2,22496.71,3649.99,18592.32,0.00,3904.39,0.00000000000,"646.76",0.00,"3099.99","550.00","","0.00","0.00",403
7,"B0000303623423","2024-03-21",5843804,2,76164.41,18524.94,62945.80,0.00,13218.62,0.00000000000,"2189.65",0.00,"10199.98","8324.97","","0.00","0.00",403
8,"B0000303623424","2024-03-21",5886732,2,30692.27,8789.97,25365.52,0.00,5326.76,0.00000000000,"882.37",0.00,"6899.98","1889.99","","0.00","0.00",403
9,"B0000303623425","2024-03-21",5886880,2,29415.55,3229.98,24310.38,0.00,5105.18,0.00000000000,"845.67",0.00,"999.99","2229.99","","0.00","0.00",403
10,"B0000303623426","2024-03-21",6278442,2,49676.31,13649.66,41054.80,0.00,8621.51,0.00000000000,"1428.15",0.00,"10079.98","3569.68","","0.00","0.00",403
11,"B0000303623427","2024-03-21",6321240,2,21589.74,4829.89,17842.76,0.00,3746.98,0.00000000000,"620.68",0.00,"4499.99","329.90","","0.00","0.00",403
12,"B0000303623428","2024-03-21",6404790,2,44298.35,12074.94,36610.21,0.00,7688.14,0.00000000000,"1273.53",0.00,"8969.96","3104.99","","0.00","0.00",403
13,"B0000303623429","2024-03-21",6978762,2,18901.55,2039.79,15621.11,0.00,3280.43,0.00000000000,"543.40",0.00,"900.00","1139.80","","0.00","0.00",403
14,"B0000303623430","2024-03-21",7122969,2,35685.85,11639.96,29492.44,0.00,6193.41,0.00000000000,"1025.93",0.00,"10739.97","900.00","","0.00","0.00",403
15,"B0000303623431","2024-03-21",7202130,2,20694.92,3899.99,17103.24,0.00,3591.68,0.00000000000,"594.96",0.00,"3899.99","0.00","","0.00","0.00",403
