orden,n_comp,fecha_emision,cod_cliente,figura,importe,bonif_sin_imp,imp_gravado,imp_exento,imp_iva,montib,gastadmi,boniflibro,bonifcosme,bonifpract,porclider,boniflider,bonifivadic,zona
1,"B0000303624053","2024-03-21",4107241,2,41379.50,12209.96,34197.93,0.00,7181.57,0.00000000000,"1189.62",0.00,"10049.97","2159.99","","0.00","0.00",554
2,"B0000303624054","2024-03-21",4250923,2,18337.15,2489.99,15154.67,0.00,3182.48,0.00000000000,"527.18",0.00,"1820.00","670.00","","0.00","0.00",554
3,"B0000303624055","2024-03-21",4440412,2,45199.37,7199.99,37354.85,0.00,7844.52,0.00000000000,"1299.44",0.00,"5079.99","2120.00","","0.00","0.00",554
4,"B0000303624056","2024-03-21",4897765,2,31298.87,9599.82,25866.84,0.00,5432.04,0.00000000000,"899.81",0.00,"8099.98","1499.84","","0.00","0.00",554
5,"B0000303624057","2024-03-21",4897773,2,76092.46,24194.95,62886.33,0.00,13206.13,0.00000000000,"2187.58",0.00,"19859.96","4334.99","","0.00","0.00",554
6,"B0000303624058","2024-03-21",5108128,2,27474.76,3914.98,22706.42,0.00,4768.35,0.00000000000,"789.87",0.00,"0.00","3914.98","","0.00","0.00",554
7,"B0000303624059","2024-03-21",5365058,2,39237.95,6289.98,32428.06,0.00,6809.89,0.00000000000,"1128.05",0.00,"4599.99","1689.99","","0.00","0.00",554
8,"B0000303624060","2024-03-21",5536774,2,72215.87,26159.90,59682.54,0.00,12533.33,0.00000000000,"2076.14",0.00,"24329.91","1829.99","","0.00","0.00",554
9,"B0000303624061","2024-03-21",5864097,2,22558.48,2489.99,18643.37,0.00,3915.11,0.00000000000,"648.53",0.00,"1000.00","1490.00","","0.00","0.00",554
10,"B0000303624062","2024-03-21",6128254,2,43860.81,10199.97,36248.60,0.00,7612.21,0.00000000000,"1260.96",0.00,"5459.99","4739.98","","0.00","0.00",554
11,"B0000303624063","2024-03-21",6261230,2,32854.43,9089.96,27152.42,0.00,5702.01,0.00000000000,"944.53",0.00,"7229.97","1859.99","","0.00","0.00",554
12,"B0000303624064","2024-03-21",6618006,2,18470.97,3359.99,15265.26,0.00,3205.70,0.00000000000,"531.02",0.00,"3359.99","0.00","","0.00","0.00",554
13,"B0000303624065","2024-03-21",6739733,2,42388.53,8629.98,35031.84,0.00,7356.69,0.00000000000,"1218.63",0.00,"8199.98","430.00","","0.00","0.00",554
14,"B0000303624066","2024-03-21",7115148,2,26882.80,4289.99,22217.19,0.00,4665.61,0.00000000000,"772.85",0.00,"3399.99","890.00","","0.00","0.00",554
15,"B0000303624067","2024-03-21",7486570,2,33564.85,7199.97,27739.55,0.00,5825.30,0.00000000000,"964.96",0.00,"3809.99","3389.99","","0.00","0.00",554
16,"B0000303624068","2024-03-21",7486634,2,38434.86,7469.97,31764.35,0.00,6670.51,0.00000000000,"1104.96",0.00,"2849.98","4619.99","","0.00","0.00",554
17,"B0000303624069","2024-03-21",7523211,2,63927.69,20609.95,52832.80,0.00,11094.89,0.00000000000,"1837.86",0.00,"17309.97","3299.98","","0.00","0.00",554
18,"B0000303624070","2024-03-21",7603525,2,32844.14,8099.97,27143.92,0.00,5700.22,0.00000000000,"944.24",0.00,"5549.98","2549.99","","0.00","0.00",554
19,"B0000303624071","2024-03-21",8201188,2,30877.62,4609.98,25518.69,0.00,5358.93,0.00000000000,"887.70",0.00,"3199.99","1410.00","","0.00","0.00",554
20,"B0000303624072","2024-03-21",8292450,2,27654.99,3439.99,22855.37,0.00,4799.63,0.00000000000,"795.05",0.00,"1720.00","1719.99","","0.00","0.00",554
21,"B0000303624073","2024-03-21",8409781,2,47757.90,12314.97,39469.34,0.00,8288.56,0.00000000000,"1372.99",0.00,"8369.98","3944.99","","0.00","0.00",554
22,"B0000303624074","2024-03-21",8625930,2,37410.36,8564.96,30917.65,0.00,6492.71,0.00000000000,"1075.51",0.00,"4559.98","4004.98","","0.00","0.00",554
23,"B0000303624075","2024-03-21",9073361,2,73944.76,23879.77,61111.37,0.00,12833.39,0.00000000000,"2125.84",0.00,"20399.93","3479.84","","0.00","0.00",554
24,"B0000303624076","2024-03-21",9179232,2,33225.12,5029.99,27458.78,0.00,5766.34,0.00000000000,"955.19",0.00,"3499.99","1530.00","","0.00","0.00",554
25,"B0000303624077","2024-03-21",9250409,2,15495.45,2449.99,12806.15,0.00,2689.29,0.00000000000,"445.48",0.00,"2299.99","150.00","","0.00","0.00",554
26,"B0000303624078","2024-03-21",9381163,2,53384.64,17549.96,44119.54,0.00,9265.10,0.00000000000,"1534.76",0.00,"15629.96","1920.00","","0.00","0.00",554
27,"B0000303624079","2024-03-21",9539166,2,15341.01,2599.99,12678.52,0.00,2662.49,0.00000000000,"441.04",0.00,"2599.99","0.00","","0.00","0.00",554
28,"B0000303624080","2024-03-21",9573976,2,75273.80,24689.91,62209.75,0.00,13064.05,0.00000000000,"2164.05",0.00,"20939.92","3749.99","","0.00","0.00",554
29,"B0000303624081","2024-03-21",9605274,2,23011.50,3649.99,19017.77,0.00,3993.73,0.00000000000,"661.56",0.00,"2999.99","650.00","","0.00","0.00",554
30,"B0000303624082","2024-03-21",9748032,2,37889.22,7699.98,31313.40,0.00,6575.81,0.00000000000,"1089.28",0.00,"7399.98","300.00","","0.00","0.00",554
31,"B0000303624083","2024-03-21",9972439,2,44118.26,13649.96,36461.37,0.00,7656.89,0.00000000000,"1268.36",0.00,"11249.97","2399.99","","0.00","0.00",554
32,"B0000303624084","2024-03-21",9996800,2,27232.83,6049.98,22506.47,0.00,4726.36,0.00000000000,"782.92",0.00,"6049.98","0.00","","0.00","0.00",554
