12303B;0000809784;4;2023;17;D;        1;20231122;0001R13768943;        27300.10;       4287.81;        2594.1;11172.1;0;0008889697;24;05;       8519.95;       4574.98;             0;0;0;0
12303A;0001333002;0;2023;17;R;        1;20231122;0001R13768945;        48801.70;       7664.89;       4637.25;0;0;0008889698;24;05;       8599.96;       8937.44;             0;0;0;0
12303B;0001339928;4;2023;17;D;        1;20231122;0001R13768946;        48250.23;       7578.31;       4584.85;32122.23;0;0008889699;24;05;      26479.89;       2374.99;             0;0;0;0
12303B;0001367509;5;2023;17;D;        1;20231122;0001R13768947;        70065.52;      11004.62;       6657.82;53937.52;0;0008889700;24;05;      23199.89;      10324.96;           750;0;0;0
12303A;0002413811;8;2023;17;D;        1;20231122;0001R13768948;        31394.33;       4930.84;       2983.14;15266.33;0;0008889701;24;05;       6719.97;       2699.99;       4099.97;0;0;0
12303A;0002413812;6;2023;17;D;        1;20231122;0001R13768950;        20517.56;       3285.17;       1588.55;4389.56;0;0008889702;24;05;           570;       2609.99;             0;0;0;0
12303B;0002413813;4;2023;17;0;        1;20231122;0001R13768951;        20224.05;        3176.4;       1921.72;0;0;0008889703;24;05;       6629.99;           360;           375;0;0;0
12303A;0002414056;2;2023;17;0;        1;20231122;0001R13768952;        34620.78;       5437.57;       3289.76;0;0;0008889704;24;05;       5799.98;       8037.45;             0;0;0;0
12303A;0002414058;9;2023;17;D;        1;20231122;0001R13768954;        40556.26;       6369.82;       3853.72;24428.26;0;0008889705;24;05;      11279.96;       7124.98;             0;0;0;0
12303B;0002414152;6;2023;17;0;        1;20231122;0001R13768955;        14734.14;       2314.15;       1400.07;0;0;0008889706;24;05;       2159.99;       1484.99;           150;0;0;0
12303B;0002414161;5;2023;17;D;        1;20231122;0001R13768956;        19611.19;       3080.16;        1863.5;3483.19;0;0008889707;24;05;       8159.96;             0;             0;0;0;0
12303B;0002414162;3;2023;17;D;        1;20231122;0001R13768957;        26023.97;       4087.38;       2472.83;9895.97;0;0008889708;24;05;      13119.94;           925;           250;0;0;0
12341M;0002414188;7;2023;17;D;        1;20231122;0001R13768958;        58369.96;        9167.7;       5546.44;42241.96;0;0008889709;24;05;             0;      17089.93;       1799.99;ZDRE;0;0
12303C;0002414340;5;2023;17;0;        1;20231122;0001R13768959;        46890.67;       7384.48;       4341.63;0;0;0008889710;24;05;      21199.93;       4174.97;             0;0;0;0
12303B;0002414356;1;2023;17;D;        1;20231122;0001R13768960;        27161.07;       4265.95;       2580.91;11033.07;0;0008889711;24;05;      14279.94;       1649.99;             0;0;0;0
12303A;0002414358;8;2023;17;0;        1;20231122;0001R13768961;        18230.94;       2863.38;       1732.36;0;0;0008889712;24;05;       2699.99;       1919.98;             0;0;0;0
12303C;0002414528;9;2023;17;0;        1;20231122;0001R13768962;        69648.51;      10939.11;       6618.15;0;0;0008889713;24;05;      25279.93;       9899.97;             0;0;0;0
12303C;0002414638;2;2023;17;D;        1;20231122;0001R13768963;        28775.54;       4519.53;       2734.32;12647.54;0;0008889714;24;05;       8399.96;       4862.45;           250;0;0;0
12303C;0002414642;0;2023;17;0;        1;20231122;0001R13768964;        26084.70;       4096.88;       2478.62;0;0;0008889715;24;05;       3239.99;       3134.98;             0;0;0;0
12303C;0002414651;0;2023;17;B;        1;20231122;0001R13768965;        28188.51;       4427.31;       2678.51;13660.51;0;0008889716;24;05;       7919.96;       5162.47;             0;0;0;0
12303B;0002414658;7;2023;17;D;        1;20231122;0001R13768966;        12939.38;       2032.26;       1229.51;0;0;0008889717;24;05;          1200;       3212.47;           375;0;0;0
12303B;0002414670;6;2023;17;0;        1;20231122;0001R13768967;        44804.93;       7037.13;       4257.46;0;0;0008889718;24;05;      11599.96;       8549.97;             0;0;0;0
12303B;0002414706;0;2023;17;D;        1;20231122;0001R13768970;       168656.81;      26669.88;      14986.62;152528.81;0;0008889719;24;05;      34119.86;      32974.87;           900;ZDRE;0;0
12303B;0002414711;7;2023;17;0;        1;20231122;0001R13768972;        25250.43;       3965.84;       2399.33;0;0;0008889720;24;05;       2309.99;       3374.99;             0;0;0;0
12303B;0002414714;1;2023;17;D;        1;20231122;0001R13768973;        19088.41;       2998.03;       1813.82;2960.41;0;0008889721;24;05;       1949.99;       2317.49;           150;0;0;0
12303A;0002414753;2;2023;17;D;        1;20231122;0001R13768974;        31335.10;       4921.54;        2977.5;15207.1;0;0008889722;24;05;       8759.96;       5237.48;           350;0;0;0
12303C;0002415084;3;2023;17;D;        1;20231122;0001R13768976;        40365.64;       6371.24;       3655.06;24237.64;0;0008889723;24;05;      12959.96;       5699.96;           250;0;0;0
12303C;0002415089;4;2023;17;D;        1;20231122;0001R13768977;        28628.78;       4496.45;       2720.32;12500.78;0;0008889724;24;05;       3679.98;       7074.95;           350;0;0;0
12303C;0002415094;0;2023;17;0;        1;20231122;0001R13768978;        56909.74;       8938.34;       5407.75;0;0;0008889725;24;05;      22159.84;       5837.44;       1499.99;0;0;0
12303B;0002415098;3;2023;17;D;        1;20231122;0001R13768980;        38455.04;        6039.8;       3654.08;22327.04;0;0008889726;24;05;       3359.99;       5054.99;           150;0;0;0
12303B;0002415102;5;2023;17;D;        1;20231122;0001R13768981-82;       108072.34;      16973.96;      10269.25;91944.34;0;0008889727;24;05;      13599.96;      27124.86;       1049.99;0;0;0
12303B;0002415109;2;2023;17;D;        1;20231122;0001R13768984;        15656.02;       2458.95;       1487.66;0;0;0008889728;24;05;             0;             0;             0;0;0;0
12303B;0002415185;8;2023;17;A;        1;20231122;0001R13768985;        31126.64;       4888.79;       2957.72;17398.64;0;0008889729;24;05;       7799.96;       5649.98;           350;ZDLI;0;0
12303C;0002415188;2;2023;17;D;        1;20231122;0001R13768987;       150374.55;      23618.07;      14288.94;134246.55;PAGOCONF;0008889730;24;05;      50479.83;      23049.93;           375;0;0;0
12303C;0002415211;0;2023;17;D;        1;20231122;0001R13768989;        26970.49;       4236.03;       2562.78;10842.49;0;0008889731;24;05;       3389.99;       2864.99;        359.99;0;0;0
12303C;0002415458;0;2023;17;0;        1;20231122;0001R13768990;        17146.88;       2693.07;       1629.34;0;0;0008889732;24;05;       5039.97;         562.5;        299.99;0;0;0
12303C;0002415700;7;2023;17;0;        1;20231122;0001R13768991;        35964.96;       5648.71;       3417.47;0;0;0008889733;24;05;       2159.99;       5062.49;           210;0;0;0
12303B;0002415711;2;2023;17;D;        1;20231122;0001R13768992;        69447.67;      10907.56;       6599.08;53319.67;0;0008889734;24;05;       9599.97;      17674.95;             0;0;0;0
12303A;0002415714;7;2023;17;D;        1;20231122;0001R13768994;        20388.81;       3202.29;       1937.36;4260.81;0;0008889735;24;05;       8799.95;       1774.98;           250;0;0;0
