orden,n_comp,renglon,cod_art,cantidad,importe_neto,precio_neto,porc_iva,adicional,precio_lista,total_renglon,cuales,revend
1,"B0000303377908",1,"1/100464-4",2,5148.84969760000,2975.1983,21.00,"",3599.99,7199.98,"X", - 
1,"B0000303377908",2,"1/100746-6",1,2574.42484880000,2975.1983,21.00,"",3599.99,3599.99,"X", - 
1,"B0000303377908",3,"1/100932-1",1,2574.42484880000,2975.1983,21.00,"",3599.99,3599.99,"X", - 
1,"B0000303377908",4,"1/101382-0",2,1144.17769760000,661.1487,21.00,"",799.99,1599.98,"X", - 
1,"B0000303377908",5,"5/203917-8",2,6946.86263280000,3305.7768,21.00,"",3999.99,7999.98,"X",23001IC04194041L - BUE
1,"B0000303377908",6,"4/251-1",2,0.02043200000,0.0082,21.00,"",0.01,0.02,"X", - 
1,"B0000303377908",7,"5/302201-2",1,1476.20331640000,1404.9504,21.00,"",1699.99,1699.99,"X", - 
1,"B0000303377908",8,"5/302542-9",1,868.35131640000,826.4380,21.00,"",999.99,999.99,"X", - 
1,"B0000303377908",9,"1/32435-5",1,1430.23284880000,1652.8842,21.00,"",1999.99,1999.99,"X", - 
1,"B0000303377908",10,"1/41317-4",1,2574.42484880000,2975.1983,21.00,"",3599.99,3599.99,"X", - 
1,"B0000303377908",11,"1/41329-3",1,2574.42484880000,2975.1983,21.00,"",3599.99,3599.99,"X", - 
1,"B0000303377908",12,"1/41330-8",1,2574.42484880000,2975.1983,21.00,"",3599.99,3599.99,"X", - 
1,"B0000303377908",13,"4/500506-9",1,0.01021600000,0.0082,21.00,"",0.01,0.01,"X", - 
1,"B0000303377908",14,"4/500596-9",1,0.01021600000,0.0082,21.00,"",0.01,0.01,"X", - 
1,"B0000303377908",15,"4/500597-2",1,0.01021600000,0.0082,21.00,"",0.01,0.01,"X", - 
1,"B0000303377908",16,"4/650343-8",1,0.01021600000,0.0082,21.00,"",0.01,0.01,"X", - 
2,"B0000303377909",1,"1/100119-7",1,2145.35284880000,2479.3305,21.00,"",2999.99,2999.99,"X", - 
2,"B0000303377909",2,"1/100170-4",1,1215.69684880000,1404.9504,21.00,"",1699.99,1699.99,"X", - 
2,"B0000303377909",3,"1/100171-6",1,1215.69684880000,1404.9504,21.00,"",1699.99,1699.99,"X", - 
2,"B0000303377909",4,"1/100983-6",1,2002.32884880000,2314.0413,21.00,"",2799.99,2799.99,"X", - 
2,"B0000303377909",5,"1/100990-4",1,715.11284880000,826.4380,21.00,"",999.99,999.99,"X", - 
2,"B0000303377909",6,"1/101047-7",1,2788.96084880000,3223.1322,21.00,"",3899.99,3899.99,"X", - 
2,"B0000303377909",7,"1/101164-8",1,3218.03284880000,3719.0000,21.00,"",4499.99,4499.99,"X", - 
2,"B0000303377909",8,"1/101224-9",1,2860.47284880000,3305.7768,21.00,"",3999.99,3999.99,"X", - 
2,"B0000303377909",9,"1/101363-3",1,1930.81684880000,2231.3966,21.00,"",2699.99,2699.99,"X", - 
2,"B0000303377909",10,"1/101405-0",1,1430.23284880000,1652.8842,21.00,"",1999.99,1999.99,"X", - 
2,"B0000303377909",11,"1/101406-2",1,4290.71284880000,4958.6694,21.00,"",5999.99,5999.99,"X", - 
2,"B0000303377909",12,"4/251-1",1,0.01021600000,0.0082,21.00,"",0.01,0.01,"X", - 
2,"B0000303377909",13,"5/302317-9",1,4341.79131640000,4132.2231,21.00,"",4999.99,4999.99,"X",23001IC04101590X - BUE
2,"B0000303377909",14,"1/32410-6",1,1430.23284880000,1652.8842,21.00,"",1999.99,1999.99,"X", - 
2,"B0000303377909",15,"5/404631-6",1,1563.03931640000,1487.5950,21.00,"",1799.99,1799.99,"X", - 
2,"B0000303377909",16,"5/405981-4",1,868.35131640000,826.4380,21.00,"",999.99,999.99,"X", - 
