30900Z;0002425530;0;2024;05;A;        1;20240321;0001R13988464;        54206.61;       8513.78;       5150.83;54206.61;0;0010215421;03;05;      10469.98;       4979.69;             0;0;0;0
41000Z;0002349626;6;2024;05;A;        1;20240321;0001R13988465;        20168.89;       3167.76;       1916.49;20168.89;0;0010215422;08;05;           600;       1669.89;           240;0;0;0
01702B;0000411332;2;2024;05;K;        1;20240321;0001R13988468;        64921.23;      10196.67;       6168.96;10722.23;0;0010215423;01;05;      20879.94;       1814.99;             0;0;0;0
01708A;0000416921;2;2024;05;R;        1;20240321;0001R13988469;        54810.66;       8608.66;       5208.22;0;0;0010215424;01;05;       4499.99;       6464.99;             0;0;0;0
01703A;0000438886;0;2024;05;0;        1;20240321;0001R13988470;        53961.24;       8475.24;       5127.53;0;0;0010215425;01;05;      13649.97;       2339.99;             0;0;0;0
01702A;0000516286;6;2024;05;R;        1;20240321;0001R13988471;        18759.23;       2946.34;       1782.55;0;0;0010215426;01;05;       2619.99;           360;             0;0;0;0
01713A;0000613545;5;2024;05;R;        1;20240321;0001R13988472;       125055.02;       19641.3;      11883.01;3967.02;0;0010215427;01;05;      24389.93;      10109.97;           540;ZDLI;0;0
01716A;0000663651;9;2024;05;R;        1;20240321;0001R13988474;        74357.53;      11678.68;       7065.61;0;0;0010215428;01;05;      16829.95;       5099.98;             0;0;0;0
01711C;0000670761;0;2024;05;R;        1;20240321;0001R13988475;        56972.97;       8948.27;       5413.69;0;0;0010215429;01;05;      10649.98;       4664.99;             0;ZDLI;0;0
01703A;0000699890;9;2024;05;R;        1;20240321;0001R13988476;        86172.24;      13534.39;        8188.3;0;0;0010215430;01;05;       7499.98;      10604.98;             0;0;0;0
01713A;0000711547;4;2024;05;R;        1;20240321;0001R13988477;        94486.21;      14840.16;       8978.33;0;0;0010215431;01;05;      11609.98;      10619.97;             0;0;0;0
01701A;0000732900;8;2024;05;0;        1;20240321;0001R13988478;        57825.64;       9082.18;       5494.73;0;0;0010215432;01;05;       3599.98;       7274.69;           360;0;0;0
01711C;0000740871;4;2024;05;R;        1;20240321;0001R13988479;        23063.00;       3622.33;       2191.49;0;0;0010215433;01;05;       3799.99;           300;             0;0;0;0
01711C;0000792517;4;2024;05;R;        1;20240321;0001R13988480;        62208.27;       9770.52;       5911.18;0;0;0010215434;01;05;      16799.96;       3029.99;             0;0;0;0
01704A;0000798065;5;2024;05;R;        1;20240321;0001R13988481;        40849.29;       6415.85;       3881.59;0;0;0010215435;01;05;      12779.97;           945;             0;0;0;0
01701A;0000826042;7;2024;05;R;        1;20240321;0001R13988482;        65744.92;      10325.98;       6247.24;0;0;0010215436;01;05;      11969.95;       5624.98;             0;0;0;0
01706A;0000829204;3;2024;05;0;        1;20240321;0001R13988483;        53333.32;       8376.62;       5067.85;0;0;0010215437;01;05;      18059.97;           990;             0;ZDLI;0;0
01704B;0000837113;0;2024;05;R;        1;20240321;0001R13988484;        67407.74;      10587.15;       6405.22;0;0;0010215438;01;05;      13499.97;       4919.99;           360;0;0;0
01703A;0000843521;9;2024;05;0;        1;20240321;0001R13988485;        47660.12;       7485.61;       4528.78;0;0;0010215439;01;05;       2999.99;       3309.99;             0;0;0;0
01706A;0000852131;0;2024;05;R;        1;20240321;0001R13988486;        50244.35;       7891.44;       4774.35;0;0;0010215440;01;05;       9149.98;       3869.99;           180;0;0;0
01701A;0000852140;9;2024;05;R;        1;20240321;0001R13988487;        17050.12;       2677.93;       1620.15;0;0;0010215441;01;05;        899.99;           940;             0;0;0;0
01703B;0000870050;8;2024;05;0;        1;20240321;0001R13988488;        43958.66;       6904.21;       4177.07;0;0;0010215442;01;05;      10139.96;       2564.99;             0;0;0;0
01708A;0000870094;0;2024;05;R;        1;20240321;0001R13988489;       103452.35;      16248.42;       9830.31;0;0;0010215443;01;05;       5699.99;      14309.68;           360;0;0;0
01702B;0000879725;0;2024;05;R;        1;20240321;0001R13988492;       108081.93;      16975.53;      10270.23;7325.93;0;0010215444;01;05;      11489.96;      13079.07;             0;0;0;0
01701A;0000882401;0;2024;05;R;        1;20240321;0001R13988493;        21662.75;        3402.4;       2058.43;0;0;0010215445;01;05;       3459.99;           300;             0;0;0;0
01716A;0000885891;8;2024;05;R;        1;20240321;0001R13988494;        44787.54;       7034.42;       4255.84;0;0;0010215446;01;05;       4799.98;          2200;             0;0;0;0
01706A;0000895126;8;2024;05;R;        1;20240321;0001R13988495;        42063.33;       6606.54;       3996.95;0;0;0010215447;01;05;      10199.97;       2294.84;             0;0;0;0
01701A;0000903611;3;2024;05;R;        1;20240321;0001R13988496;        66244.40;      10404.51;       6294.71;0;0;0010215448;01;05;       5599.98;          4160;             0;0;0;0
01704B;0000907321;3;2024;05;R;        1;20240321;0001R13988497;        25297.20;       3973.22;        2403.8;0;0;0010215449;01;05;       3079.99;           550;             0;0;0;0
01701A;0000910232;9;2024;05;R;        1;20240321;0001R13988498;        22177.53;       3483.25;       2107.35;0;0;0010215450;01;05;          1200;       1359.99;             0;0;0;0
01703A;0000914196;0;2024;05;R;        1;20240321;0001R13988499;        40504.38;       6361.72;       3848.84;0;0;0010215451;01;05;       5199.99;          1560;             0;0;0;0
01706A;0000928012;0;2024;05;R;        1;20240321;0001R13988500;        43902.06;       6895.35;       4171.67;0;0;0010215452;01;05;       7419.99;           940;             0;0;0;0
01706A;0000938062;0;2024;05;R;        1;20240321;0001R13988501;        80046.13;       12572.2;       7606.18;0;0;0010215453;01;05;      24479.96;       2924.99;             0;0;0;0
01705A;0000938069;8;2024;05;R;        1;20240321;0001R13988502;        37487.62;       5887.88;       3562.17;0;0;0010215454;01;05;       4399.99;          1350;           240;0;0;0
01703A;0000985008;2;2024;05;0;        1;20240321;0001R13988503;        89121.89;      13997.62;       8468.57;0;0;0010215455;01;05;      18629.94;       6809.97;             0;0;0;0
01701A;0001004910;0;2024;05;F;        1;20240321;0001R13988504;        23320.41;       3662.74;       2215.94;0;0;0010215456;01;05;          1320;          1480;             0;0;0;0
01704A;0001028114;2;2024;05;R;        1;20240321;0001R13988505;        25884.06;        4065.4;       2459.56;0;0;0010215457;01;05;       2999.99;           960;             0;0;0;0
01706A;0001030249;2;2024;05;R;        1;20240321;0001R13988506;        29631.82;       4654.02;       2815.69;0;0;0010215458;01;05;       4649.99;       2369.99;             0;0;0;0
01706A;0001030269;7;2024;05;A;        1;20240321;0001R13988507;        94501.64;      14842.56;       8979.78;70305.64;0;0010215459;01;05;      23999.96;       6134.98;           180;0;0;0
01701A;0001045147;1;2024;05;R;        1;20240321;0001R13988508;        73863.31;      11601.09;       7018.69;0;0;0010215460;01;05;      19979.95;       2729.99;             0;0;0;0
01704B;0001045174;9;2024;05;0;        1;20240321;0001R13988509;        26213.56;       4117.16;       2490.88;0;0;0010215461;01;05;       5239.99;             0;             0;0;0;0
01703A;0001071915;6;2024;05;R;        1;20240321;0001R13988510;        29024.34;       4558.62;       2757.96;0;0;0010215462;01;05;       4099.99;           690;           120;0;0;0
01701A;0001074318;9;2024;05;R;        1;20240321;0001R13988511;       217033.12;      34087.59;      20623.03;85779.12;0;0010215463;01;05;      34109.91;      21584.79;           360;0;0;0
01702B;0001089599;0;2024;05;R;        1;20240321;0001R13988514;        17379.64;       2729.67;       1651.45;0;0;0010215464;01;05;       2599.99;           270;             0;0;0;0
01706A;0001096257;3;2024;05;Q;        1;20240321;0001R13988515;        36375.69;       5713.25;        3456.5;0;0;0010215465;01;05;       3499.99;       1869.99;             0;0;0;0
01713A;0001099111;5;2024;05;R;        1;20240321;0001R13988516;        29055.24;       4563.48;        2760.9;0;0;0010215466;01;05;       4399.99;           680;             0;0;0;0
01701A;0001110101;6;2024;05;R;        1;20240321;0001R13988517;        45981.83;       7221.99;       4369.31;0;0;0010215467;01;05;       3149.99;       5789.99;             0;0;0;0
01703B;0001110115;6;2024;05;R;        1;20240321;0001R13988518;        21106.79;       3315.07;       2005.61;0;0;0010215468;01;05;       3299.99;             0;             0;0;0;0
01702A;0001118634;8;2024;05;0;        1;20240321;0001R13988519;        45137.57;       7259.22;       3310.34;0;0;0010215469;01;05;       8909.97;       2249.99;             0;0;0;0
01703A;0001118648;8;2024;05;R;        1;20240321;0001R13988520;        17338.41;       2723.19;       1647.53;0;0;0010215470;01;05;           300;       1059.99;             0;0;0;0
01702B;0001118656;9;2024;05;R;        1;20240321;0001R13988521;        42223.83;       6631.75;       4012.24;0;0;0010215471;01;05;       8159.98;           430;             0;0;0;0
01706A;0001118676;3;2024;05;R;        1;20240321;0001R13988522;        28396.32;       4459.98;       2698.28;0;0;0010215472;01;05;       4599.99;           520;             0;0;0;0
01703A;0001125737;7;2024;05;0;        1;20240321;0001R13988523;        28168.85;       4424.25;       2676.67;0;0;0010215473;01;05;             0;       2539.89;             0;0;0;0
01702A;0001128447;1;2024;05;R;        1;20240321;0001R13988524;        50239.23;       7890.67;       4773.84;0;0;0010215474;01;05;      12389.97;       2714.99;             0;0;0;0
01706A;0001128464;1;2024;05;R;        1;20240321;0001R13988525;        23577.82;       3703.18;       2240.43;0;0;0010215475;01;05;       4599.99;             0;             0;0;0;0
