orden,n_comp,fecha_emision,cod_cliente,figura,importe,bonif_sin_imp,imp_gravado,imp_exento,imp_iva,montib,gastadmi,boniflibro,bonifcosme,bonifpract,porclider,boniflider,bonifivadic,zona
39,"B0000700035153","2024-02-19",6033254158,2,0.00,0.00,0.00,0.00,2169.24,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
40,"B0000700035154","2024-02-19",6033270990,2,0.00,0.00,0.00,0.00,5161.44,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
41,"B0000700035155","2024-02-19",6033445988,2,0.00,0.00,0.00,0.00,3280.16,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
42,"B0000700035156","2024-02-19",6033735275,2,0.00,0.00,0.00,0.00,4859.50,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
43,"B0000700035157","2024-02-19",6034123644,2,0.00,0.00,0.00,0.00,1301.48,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
44,"B0000700035158","2024-02-19",6035016860,2,0.00,0.00,0.00,0.00,4165.28,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
45,"B0000700035159","2024-02-19",6035087546,2,0.00,0.00,0.00,0.00,5987.59,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
46,"B0000700035160","2024-02-19",6035270434,2,0.00,0.00,0.00,0.00,1214.70,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
47,"B0000700035161","2024-02-19",6035499616,2,0.00,0.00,0.00,0.00,2603.31,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
48,"B0000700035162","2024-02-19",6035963135,2,0.00,0.00,0.00,0.00,3896.38,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
49,"B0000700035163","2024-02-19",6036147153,2,0.00,0.00,0.00,0.00,3373.49,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
50,"B0000700035164","2024-02-19",6036498608,2,0.00,0.00,0.00,0.00,3123.96,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
51,"B0000700035165","2024-02-19",6038166399,2,0.00,0.00,0.00,0.00,4113.21,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
52,"B0000700035166","2024-02-19",6038390031,2,0.00,0.00,0.00,0.00,2342.96,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
53,"B0000700035167","2024-02-19",6038627124,2,0.00,0.00,0.00,0.00,2082.46,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
54,"B0000700035168","2024-02-19",6039069575,2,0.00,0.00,0.00,0.00,2689.91,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
55,"B0000700035169","2024-02-19",6039082240,2,0.00,0.00,0.00,0.00,5295.10,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
56,"B0000700035170","2024-02-19",6039098631,2,0.00,0.00,0.00,0.00,5310.72,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
57,"B0000700035171","2024-02-19",6039212020,2,0.00,0.00,0.00,0.00,954.37,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
58,"B0000700035172","2024-02-19",6039276606,2,0.00,0.00,0.00,0.00,2689.91,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
59,"B0000700035173","2024-02-19",6039559337,2,0.00,0.00,0.00,0.00,3932.26,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
60,"B0000700035174","2024-02-19",6040075445,2,0.00,0.00,0.00,0.00,3123.96,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
61,"B0000700035175","2024-02-19",6040748541,2,0.00,0.00,0.00,0.00,4165.28,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
62,"B0000700035176","2024-02-19",6040981759,2,0.00,0.00,0.00,0.00,4963.63,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
63,"B0000700035177","2024-02-19",6041038364,2,0.00,0.00,0.00,0.00,6161.15,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
64,"B0000700035178","2024-02-19",6041215536,2,0.00,0.00,0.00,0.00,6942.13,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
65,"B0000700035179","2024-02-19",6041346794,2,0.00,0.00,0.00,0.00,4685.94,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
66,"B0000700035180","2024-02-19",6041351635,2,0.00,0.00,0.00,0.00,3037.01,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
67,"B0000700035181","2024-02-19",6041386895,2,0.00,0.00,0.00,0.00,2169.25,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
68,"B0000700035182","2024-02-19",6041541784,2,0.00,0.00,0.00,0.00,6265.27,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
69,"B0000700035183","2024-02-19",6041560645,2,0.00,0.00,0.00,0.00,867.77,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
70,"B0000700035184","2024-02-19",6041764158,2,0.00,0.00,0.00,0.00,6508.26,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
71,"B0000700035185","2024-02-19",6041966528,2,0.00,0.00,0.00,0.00,4564.47,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
72,"B0000700035186","2024-02-19",6042538734,2,0.00,0.00,0.00,0.00,3873.71,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
73,"B0000700035187","2024-02-19",6042568460,2,0.00,0.00,0.00,0.00,1648.58,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
74,"B0000700035188","2024-02-19",6042569385,2,0.00,0.00,0.00,0.00,4199.99,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
75,"B0000700035189","2024-02-19",6043048447,2,0.00,0.00,0.00,0.00,1127.92,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
76,"B0000700035190","2024-02-19",6043059133,2,0.00,0.00,0.00,0.00,1822.14,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
77,"B0000700035191","2024-02-19",6043105495,2,0.00,0.00,0.00,0.00,3436.36,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
78,"B0000700035192","2024-02-19",6043140120,2,0.00,0.00,0.00,0.00,1475.03,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
79,"B0000700035193","2024-02-19",6043201132,2,0.00,0.00,0.00,0.00,1822.14,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
80,"B0000700035194","2024-02-19",6043447954,2,0.00,0.00,0.00,0.00,2749.08,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
81,"B0000700035195","2024-02-19",6044200460,2,0.00,0.00,0.00,0.00,1388.43,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
82,"B0000700035196","2024-02-19",6044418716,2,0.00,0.00,0.00,0.00,812.23,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
83,"B0000700035197","2024-02-19",6044418716,2,0.00,0.00,0.00,0.00,473.80,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
84,"B0000700035198","2024-02-19",6044418716,2,0.00,0.00,0.00,0.00,473.80,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
85,"B0000700035199","2024-02-19",6044418716,2,0.00,0.00,0.00,0.00,676.86,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
86,"B0000700035200","2024-02-19",6044418716,2,0.00,0.00,0.00,0.00,248.18,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
87,"B0000700035201","2024-02-19",6044418716,2,0.00,0.00,0.00,0.00,347.11,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
88,"B0000700035202","2024-02-19",6044418716,2,0.00,0.00,0.00,0.00,347.11,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
89,"B0000700035203","2024-02-19",6044594812,2,0.00,0.00,0.00,0.00,4859.49,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
90,"B0000700035204","2024-02-19",6045038520,2,0.00,0.00,0.00,0.00,3991.73,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
91,"B0000700035205","2024-02-19",6045677874,2,0.00,0.00,0.00,0.00,902.30,0.00000000000,"0.00",0.00,"0.00","0.00","","0.00","0.00",888
