orden,n_comp,renglon,cod_art,cantidad,importe_neto,precio_neto,porc_iva,adicional,precio_lista,total_renglon,cuales,revend
1,"B0000700035115",1,"1/100287-2",1,2699.99000000000,2231.4000,21.00,"0.00",2699.99,2699.99," ",600769137
1,"B0000700035115",2,"1/100508-6",1,2700.00000000000,2231.4000,21.00,"0.00",2700.00,2700.00," ",600769137
1,"B0000700035115",3,"1/100991-6",2,2250.00000000000,1859.5000,21.00,"0.00",2250.00,4500.00," ",600769137
1,"B0000700035115",4,"4/800056-0",1,0.01000000000,0.0100,21.00,"0.00",0.01,0.01," ",600769137
1,"B0000700035115",5,"0/9-0",1,-0.01000000000,-0.0100,21.00,"0.00",-0.01,-0.01," ",600769137
2,"B0000700035116",1,"1/100286-0",1,2700.00000000000,2231.4000,21.00,"0.00",2700.00,2700.00," ",601198501
2,"B0000700035116",2,"1/100287-2",1,2699.99000000000,2231.4000,21.00,"0.00",2699.99,2699.99," ",601198501
2,"B0000700035116",3,"1/100490-9",2,1350.00000000000,1115.7000,21.00,"0.00",1350.00,2700.00," ",601198501
2,"B0000700035116",4,"1/100991-6",2,2250.00000000000,1859.5000,21.00,"0.00",2250.00,4500.00," ",601198501
2,"B0000700035116",5,"5/202600-1",2,1575.00000000000,1301.6500,21.00,"0.00",1575.00,3150.00," ",601198501
2,"B0000700035116",6,"5/403479-4",2,2250.00000000000,1859.5000,21.00,"0.00",2250.00,4500.00," ",601198501
2,"B0000700035116",7,"4/800056-0",1,0.01000000000,0.0100,21.00,"0.00",0.01,0.01," ",601198501
2,"B0000700035116",8,"0/9-0",1,-0.01000000000,-0.0100,21.00,"0.00",-0.01,-0.01," ",601198501
3,"B0000700035117",1,"5/403479-4",2,2250.00000000000,1859.5000,21.00,"0.00",2250.00,4500.00," ",601203580
3,"B0000700035117",2,"4/800056-0",1,0.01000000000,0.0100,21.00,"0.00",0.01,0.01," ",601203580
3,"B0000700035117",3,"0/995300-6",1,6569.99000000000,5429.7400,21.00,"0.00",6569.99,6569.99," ",601203580
3,"B0000700035117",4,"0/9-0",1,-0.01000000000,-0.0100,21.00,"0.00",-0.01,-0.01," ",601203580
